Ref_Class	gene	seqnames	gene_cluster	gene_region	Kinetic_class	hpi	Time	cell_line	group	cmp_ref	strand	sample	class_code	read_count	parent	norm_base	sum_read_count	norm_read_count	mean	sd	varcoeff	Isoform_nr	Description	rep	sum_abundance	mean_abundance	min_abundance	max_abundance
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_512	-	EHV-1_4h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	4h	4	RK-13	RK-13_4h	ORF49-Antisense-Long-novTX_706	-	EHV-1_4h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_512	-	EHV-1_6h_1	Antisense-Long	0	NA	1	4	0	0.125	0.209165006633519	1.67332005306815	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_706	-	EHV-1_6h_1	Antisense-Long	1	NA	1	4	0.25	0.125	0.209165006633519	1.67332005306815	1	NA	1	0.75	0.5	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_512	-	EHV-1_6h_2	Antisense-Long	0	NA	1	5	0	0.125	0.209165006633519	1.67332005306815	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_706	-	EHV-1_6h_2	Antisense-Long	0	NA	1	5	0	0.125	0.209165006633519	1.67332005306815	1	NA	2	0.75	0.5	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_512	-	EHV-1_6h_3	Antisense-Long	0	NA	1	2	0	0.125	0.209165006633519	1.67332005306815	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	6h	6	RK-13	RK-13_6h	ORF49-Antisense-Long-novTX_706	-	EHV-1_6h_3	Antisense-Long	1	NA	1	2	0.5	0.125	0.209165006633519	1.67332005306815	1	NA	3	0.75	0.5	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_512	-	EHV-1_8h_1	Antisense-Long	0	NA	1	10	0	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	1	0.0833333333333333	0.0833333333333333	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_1	Antisense-Long	0	NA	1	10	0	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	1	0.0833333333333333	0.0833333333333333	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_512	-	EHV-1_8h_2	Antisense-Long	1	NA	1	12	0.0833333333333333	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	2	0.0833333333333333	0.0833333333333333	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_2	Antisense-Long	1	NA	1	12	0.0833333333333333	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	2	0.0833333333333333	0.0833333333333333	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_512	-	EHV-1_8h_3	Antisense-Long	0	NA	1	17	0	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	3	0.0833333333333333	0.0833333333333333	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	8h	8	RK-13	RK-13_8h	ORF49-Antisense-Long-novTX_706	-	EHV-1_8h_3	Antisense-Long	0	NA	1	17	0	0.0277777777777778	0.0430331482911935	1.54919333848297	1	NA	3	0.0833333333333333	0.0833333333333333	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_512	-	EHV-1_12h_1	Antisense-Long	0	NA	1	44	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_1	Antisense-Long	2	NA	1	44	0.0454545454545455	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	1	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_512	-	EHV-1_12h_2	Antisense-Long	0	NA	1	22	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_2	Antisense-Long	0	NA	1	22	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	2	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_512	-	EHV-1_12h_3	Antisense-Long	0	NA	1	21	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	12h	12	RK-13	RK-13_12h	ORF49-Antisense-Long-novTX_706	-	EHV-1_12h_3	Antisense-Long	0	NA	1	21	0	0.00757575757575758	0.0185567404756301	2.44948974278318	1	NA	3	0.0454545454545455	0.0454545454545455	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_512	-	EHV-1_18h_1	Antisense-Long	0	NA	1	3	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_1	Antisense-Long	0	NA	1	3	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_512	-	EHV-1_18h_2	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_2	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_512	-	EHV-1_18h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	18h	18	RK-13	RK-13_18h	ORF49-Antisense-Long-novTX_706	-	EHV-1_18h_3	Antisense-Long	0	NA	1	1	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_512	-	EHV-1_24h_1	Antisense-Long	0	NA	1	12	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_1	Antisense-Long	0	NA	1	12	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_512	-	EHV-1_24h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_512	-	EHV-1_24h_3	Antisense-Long	0	NA	1	10	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	24h	24	RK-13	RK-13_24h	ORF49-Antisense-Long-novTX_706	-	EHV-1_24h_3	Antisense-Long	0	NA	1	10	0	0	0	NA	1	NA	3	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_512	-	EHV-1_48h_1	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	1	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_706	-	EHV-1_48h_1	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	1	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_512	-	EHV-1_48h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_706	-	EHV-1_48h_2	Antisense-Long	0	NA	1	9	0	0	0	NA	1	NA	2	0	0	0	0.5
ORF49-Antisense-Long-novTX_512	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_512	-	EHV-1_48h_3	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	3	0	0	0	0.0833333333333333
ORF49-Antisense-Long-novTX_706	ORF49	NC_001491.2	ORF49	ORF49	unknown	48h	48	RK-13	RK-13_48h	ORF49-Antisense-Long-novTX_706	-	EHV-1_48h_3	Antisense-Long	0	NA	1	6	0	0	0	NA	1	NA	3	0	0	0	0.5
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_1	=	0	NA	1	0	0	0	0	NA	1	NA	1	0	0	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_2	=	0	NA	1	0	0	0	0	NA	1	NA	2	0	0	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-L	-	EHV-1_1h_3	=	0	NA	1	0	0	0	0	NA	1	NA	3	0	0	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_1	=	0	NA	1	10	0	0.0185185185185185	0.0453609211626514	2.44948974278318	1	NA	1	0.111111111111111	0.111111111111111	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_2	=	0	NA	1	1	0	0.0185185185185185	0.0453609211626514	2.44948974278318	1	NA	2	0.111111111111111	0.111111111111111	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-L	-	EHV-1_2h_3	=	1	NA	1	9	0.111111111111111	0.0185185185185185	0.0453609211626514	2.44948974278318	1	NA	3	0.111111111111111	0.111111111111111	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_1	=	0	NA	1	11	0	0.0270562770562771	0.0423656720880662	1.56583524037493	1	NA	1	0.162337662337662	0.0909090909090909	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_2	=	1	NA	1	11	0.0909090909090909	0.0270562770562771	0.0423656720880662	1.56583524037493	1	NA	2	0.162337662337662	0.0909090909090909	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-L	-	EHV-1_4h_3	=	1	NA	1	14	0.0714285714285714	0.0270562770562771	0.0423656720880662	1.56583524037493	1	NA	3	0.162337662337662	0.0909090909090909	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_1	=	0	NA	1	133	0	0.00126262626262626	0.00309279007927169	2.44948974278318	1	NA	1	0.00757575757575758	0.00757575757575758	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_2	=	0	NA	1	118	0	0.00126262626262626	0.00309279007927169	2.44948974278318	1	NA	2	0.00757575757575758	0.00757575757575758	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-L	-	EHV-1_6h_3	=	1	NA	1	132	0.00757575757575758	0.00126262626262626	0.00309279007927169	2.44948974278318	1	NA	3	0.00757575757575758	0.00757575757575758	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-L	-	EHV-1_8h_1	=	3	NA	1	367	0.00817438692098093	0.00411214889882263	0.00389021403628536	0.946029468290701	1	NA	1	0.0227644964463709	0.00817438692098093	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-L	-	EHV-1_8h_2	=	4	NA	1	524	0.00763358778625954	0.00411214889882263	0.00389021403628536	0.946029468290701	1	NA	2	0.0227644964463709	0.00817438692098093	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-L	-	EHV-1_8h_3	=	4	NA	1	575	0.00695652173913044	0.00411214889882263	0.00389021403628536	0.946029468290701	1	NA	3	0.0227644964463709	0.00817438692098093	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-L	-	EHV-1_12h_1	=	11	NA	1	1895	0.00580474934036939	0.00267957091704807	0.00295528765154253	1.1028958527428	1	NA	1	0.0160774255022884	0.00580474934036939	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-L	-	EHV-1_12h_2	=	8	NA	1	1450	0.00551724137931034	0.00267957091704807	0.00295528765154253	1.1028958527428	1	NA	2	0.0160774255022884	0.00580474934036939	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-L	-	EHV-1_12h_3	=	7	NA	1	1472	0.0047554347826087	0.00267957091704807	0.00295528765154253	1.1028958527428	1	NA	3	0.0160774255022884	0.00580474934036939	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	18h	18	RK-13	RK-13_18h	CTO-L	-	EHV-1_18h_1	=	3	NA	1	926	0.00323974082073434	0.00172543265180324	0.00205519562941678	1.19111900848109	1	NA	1	0.0103525959108195	0.00481927710843374	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	18h	18	RK-13	RK-13_18h	CTO-L	-	EHV-1_18h_2	=	2	NA	1	415	0.00481927710843374	0.00172543265180324	0.00205519562941678	1.19111900848109	1	NA	2	0.0103525959108195	0.00481927710843374	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	18h	18	RK-13	RK-13_18h	CTO-L	-	EHV-1_18h_3	=	1	NA	1	436	0.00229357798165138	0.00172543265180324	0.00205519562941678	1.19111900848109	1	NA	3	0.0103525959108195	0.00481927710843374	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	24h	24	RK-13	RK-13_24h	CTO-L	-	EHV-1_24h_1	=	6	NA	1	690	0.00869565217391304	0.00333487758938649	0.00387745134040747	1.16269675167322	1	NA	1	0.0200092655363189	0.00869565217391304	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	24h	24	RK-13	RK-13_24h	CTO-L	-	EHV-1_24h_2	=	2	NA	1	436	0.00458715596330275	0.00333487758938649	0.00387745134040747	1.16269675167322	1	NA	2	0.0200092655363189	0.00869565217391304	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	24h	24	RK-13	RK-13_24h	CTO-L	-	EHV-1_24h_3	=	3	NA	1	446	0.00672645739910314	0.00333487758938649	0.00387745134040747	1.16269675167322	1	NA	3	0.0200092655363189	0.00869565217391304	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	48h	48	RK-13	RK-13_48h	CTO-L	-	EHV-1_48h_1	=	3	NA	1	940	0.00319148936170213	0.00200616423727079	0.00250405454457854	1.24818023273364	1	NA	1	0.0120369854236247	0.00618238021638331	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	48h	48	RK-13	RK-13_48h	CTO-L	-	EHV-1_48h_2	=	2	NA	1	751	0.00266311584553928	0.00200616423727079	0.00250405454457854	1.24818023273364	1	NA	2	0.0120369854236247	0.00618238021638331	0	0.111111111111111
CTO-L	CTO	NC_001491.2	CTO	CTO	unknown	48h	48	RK-13	RK-13_48h	CTO-L	-	EHV-1_48h_3	=	4	NA	1	647	0.00618238021638331	0.00200616423727079	0.00250405454457854	1.24818023273364	1	NA	3	0.0120369854236247	0.00618238021638331	0	0.111111111111111
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-S	-	EHV-1_1h_1	=	0	NA	1	0	0	0	0	NA	3	NA	1	0	0	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-S	-	EHV-1_1h_2	=	0	NA	1	0	0	0	0	NA	3	NA	2	0	0	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	1h	1	RK-13	RK-13_1h	CTO-S	-	EHV-1_1h_3	=	0	NA	1	0	0	0	0	NA	3	NA	3	0	0	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-S	-	EHV-1_2h_1	=	10	NA	1	10	1	0.962962962962963	0.0641500299099585	0.0666173387526492	3	NA	1	2.88888888888889	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-S	-	EHV-1_2h_2	=	1	NA	1	1	1	0.962962962962963	0.0641500299099585	0.0666173387526492	3	NA	2	2.88888888888889	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	2h	2	RK-13	RK-13_2h	CTO-S	-	EHV-1_2h_3	=	8	NA	1	9	0.888888888888889	0.962962962962963	0.0641500299099585	0.0666173387526492	3	NA	3	2.88888888888889	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-S	-	EHV-1_4h_1	=	11	NA	1	11	1	0.945887445887446	0.0478643817911169	0.0506026187356888	3	NA	1	2.83766233766234	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-S	-	EHV-1_4h_2	=	10	NA	1	11	0.909090909090909	0.945887445887446	0.0478643817911169	0.0506026187356888	3	NA	2	2.83766233766234	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	4h	4	RK-13	RK-13_4h	CTO-S	-	EHV-1_4h_3	=	13	NA	1	14	0.928571428571429	0.945887445887446	0.0478643817911169	0.0506026187356888	3	NA	3	2.83766233766234	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-S	-	EHV-1_6h_1	=	132	NA	1	133	0.992481203007519	0.984867471709577	0.0200543591520521	0.0203624951865258	3	NA	1	2.95460241512873	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-S	-	EHV-1_6h_2	=	118	NA	1	118	1	0.984867471709577	0.0200543591520521	0.0203624951865258	3	NA	2	2.95460241512873	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	6h	6	RK-13	RK-13_6h	CTO-S	-	EHV-1_6h_3	=	127	NA	1	132	0.962121212121212	0.984867471709577	0.0200543591520521	0.0203624951865258	3	NA	3	2.95460241512873	1	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-S	-	EHV-1_8h_1	=	361	NA	1	367	0.983651226158038	0.986562799470535	0.00414175980835942	0.00419817148039861	3	NA	1	2.95968839841161	0.991304347826087	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-S	-	EHV-1_8h_2	=	516	NA	1	524	0.984732824427481	0.986562799470535	0.00414175980835942	0.00419817148039861	3	NA	2	2.95968839841161	0.991304347826087	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	8h	8	RK-13	RK-13_8h	CTO-S	-	EHV-1_8h_3	=	570	NA	1	575	0.991304347826087	0.986562799470535	0.00414175980835942	0.00419817148039861	3	NA	3	2.95968839841161	0.991304347826087	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-S	-	EHV-1_12h_1	=	1877	NA	1	1895	0.990501319261214	0.99158764615054	0.000982425187377262	0.000990759809474385	3	NA	1	2.97476293845162	0.992413793103448	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-S	-	EHV-1_12h_2	=	1439	NA	1	1450	0.992413793103448	0.99158764615054	0.000982425187377262	0.000990759809474385	3	NA	2	2.97476293845162	0.992413793103448	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	12h	12	RK-13	RK-13_12h	CTO-S	-	EHV-1_12h_3	=	1460	NA	1	1472	0.991847826086957	0.99158764615054	0.000982425187377262	0.000990759809474385	3	NA	3	2.97476293845162	0.992413793103448	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	18h	18	RK-13	RK-13_18h	CTO-S	-	EHV-1_18h_1	=	913	NA	1	926	0.985961123110151	0.985875254440792	0.00270081395838261	0.00273950882347134	3	NA	1	2.95762576332238	0.988532110091743	0	1
CTO-S	CTO	NC_001491.2	CTO	CTO	unknown	18h	18	RK-13	RK-13_18h	CTO-S	-	EHV-1_18h_2	=	408	NA	1	415	0.983132530120482	0.985875254440792	0.00270081395838261	0.00273950882347134	3	NA	2	2.95762576332238	0.988532110091743	0	1
